parent_message_ts,num_replies,time_length,ts
2023-12-26 20:53:11.375628948,6,111.19024549722639,1
2023-12-27 15:06:10.164159060,15,456.83223589440166,2
2023-12-27 16:23:59.912969112,87,96.01244569440694,2
2023-12-28 20:58:29.419198990,1,0.0,1
2023-12-29 08:28:21.764939070,8,130.96712331665887,1
2023-12-31 14:34:57.515558957,11,145.34887597223138,1
2024-01-09 06:17:36.404398918,9,27.28939001944333,1
2024-01-09 10:04:04.146449089,24,50.709216025008054,2
2024-01-09 19:43:08.219109058,42,833.3956875277892,2
2024-01-15 05:05:04.007369041,41,147.1806542055475,1
2024-01-16 13:52:59.717308998,11,120.67461186667279,4
2024-01-16 22:41:25.491739035,33,193.18736773053806,1
2024-01-17 10:26:48.342278957,16,123.05251557780639,2
2024-01-18 08:44:54.472538948,12,29.206675463915,1
